Buffer Level(secs), Bitrate(Kbps), Measure Throughput(Kbps), Content Lenght(bytes), Download Time(milisecs)
64.133,1628,32688,1277099,29
64.133,1628,32688,1277099,29
64.133,1628,32688,1277099,29
56.476,1628,32688,1277099,29
56.507,1628,26436.6,1116470,589
56.47,1628,20212.4,1409680,593
48.503,1628,20212.4,1409680,593
56.345,1628,1431.5,916222,583
56.665,1628,1433.5,374408,594
56.593,1628,1433.5,1060336,593
56.463,1628,1435,1145261,585
56.455,1628,1434.25,1677747,590
56.458,1628,1431.75,1019645,581
56.454,1628,1432,1269978,605
56.52,1628,1430.5,1479723,585
56.518,1628,1428.5,1083094,593
56.581,1628,1426,1052342,592
56.615,1628,1424.75,1002185,593
56.346,1628,1424.5,1086708,584
56.377,1628,1422.75,1726333,584
56.474,1628,1426.75,1362021,590
56.438,1628,1426.5,1240483,589
56.468,1628,1425.5,1441964,584
48.499,1628,1425.5,1441964,584
48.632,1628,1427.25,1656385,591
56.627,1628,1428.75,995884,604
64.596,1628,6593,1651238,42
64.46,1628,11907,1694504,41
64.426,1628,17236.5,1185764,37
64.424,1628,32790,1843506,31
64.454,1628,33060.25,1682977,36
64.554,1628,33210.75,690892,36
64.519,1628,33138.25,1303800,35
64.549,1628,33030.5,2195182,40
64.679,1628,33136.25,1924544,43
64.652,1628,33056,1931308,45
64.681,1628,33032.25,1943904,34
64.681,1628,33237.25,1127524,48
64.445,1628,33105.75,2077749,34
64.408,1628,32840.75,2464020,36
64.475,1628,32862.25,2677227,41
56.506,1628,32862.25,2677227,41
48.538,1628,32862.25,2677227,41
56.442,1628,20227.2,1029073,593
56.596,1628,13983.4,570492,591
56.629,1628,1427.25,1030710,591
56.43,1628,1428,968545,583
56.494,1628,1431,1312019,579
56.46,1628,1430.75,1405965,587
48.491,1628,1430.75,1405965,587
40.523,1628,1430.75,1405965,587
40.621,1628,1433.25,3860075,586
32.651,1628,1433.25,3860075,586
32.581,1628,1432.75,3108812,582
24.611,1628,1432.75,3108812,582
24.445,1628,1432.5,2370137,586
24.476,1628,1432,1564467,588
24.527,1628,1430.25,1141517,580
16.558,1628,1430.25,1141517,580
16.522,1628,1429.75,2461679,579
16.55,1628,1430.75,1677755,583
24.652,1628,1430.5,997239,591
24.648,1628,1433,886026,599
40.441,1628,7247.5,1627523,32
64.411,1628,29783.8,3265669,40
64.51,1628,30006.16667,3255765,37
64.542,1628,30057.66667,1519075,32
64.474,1628,30078.66667,2008115,38
64.505,1628,32222.5,3739844,31
56.535,1628,32222.5,3739844,31
64.598,1628,25653.83333,2350360,41
64.665,1628,25524.14286,185595,33
64.463,1628,24964.71429,377422,36
64.394,1628,24444.28571,620650,38
58.892,1628,22066,235679,115
50.925,1628,22066,235679,115
42.954,1628,22066,235679,115
34.984,1628,22066,235679,115
27.018,1628,22066,235679,115
19.045,1628,22066,235679,115
11.076,1628,22066,235679,115
2.845,1628,22066,235679,115
0,1628,22066,235679,115
0,1628,22066,235679,115
