Buffer Level(secs), Bitrate(Kbps), Measure Throughput(Kbps), Content Lenght(bytes), Download Time(milisecs)
16.1,882,1448,1105976,3
8.93,882,1448,1105976,3
8.664,882,1445,1380698,583
8.765,882,1444,1027553,584
8.795,882,1443.5,1494798,586
8.824,882,1442.5,729475,583
8.89,882,1443,1006244,584
8.807,882,1443.75,669890,586
8.866,882,1444.5,578372,588
8.851,882,1444.25,756163,588
8.884,882,1444,1202579,584
17.01,882,1445.5,206957,583
9.026,882,1445.5,206957,583
8.676,882,1446,563024,586
8.71,882,1446.5,617436,583
8.81,882,1445.5,929320,590
8.81,882,1444.5,528570,586
8.802,882,1444.5,666554,585
8.82,882,1444,753176,589
8.853,882,1444.5,625910,584
8.904,882,1444.25,577619,591
8.898,882,1444,554896,591
8.663,882,1444.5,599266,581
16.761,882,14457.4,715010,44
64.722,1628,64812.25,1651238,15
64.85,1628,64739.75,1694504,16
60.216,1628,64739.75,1694504,16
59.916,1628,64385,1185764,13
59.918,1628,64697,1843506,17
59.944,1628,64768.25,1682977,27
60.051,1628,64542.25,690892,16
60.008,1628,64699,1303800,29
60.044,1628,64947.75,2195182,37
60.119,1628,64918,1924544,37
60.14,1628,65080.25,1931308,12
60.177,1628,65015.5,1943904,16
60.171,1628,65455.75,1127524,30
60.18,1628,65378.5,2077749,40
60.113,1628,65359.75,2464020,17
51.891,1628,65359.75,2464020,17
51.954,1628,52576,2677227,592
43.99,1628,52576,2677227,592
44.05,1628,39796,2239338,589
52.049,1628,1442.25,570492,586
52.082,1628,1442.5,1030710,590
52.141,1628,1443,968545,586
52.21,1628,1443,1312019,583
51.908,1628,1442.25,1405965,595
43.942,1628,1442.25,1405965,595
35.967,1628,1442.25,1405965,595
36.067,1628,1442,3860075,584
28.101,1628,1442,3860075,584
28.027,1628,1441.5,3108812,591
20.06,1628,1441.5,3108812,591
20.161,1628,1441.25,2370137,579
20.194,1628,1441,1564467,584
19.987,1628,1441.25,1141517,590
19.954,1628,1441.25,2461679,594
11.987,1628,1441.25,2461679,594
11.993,882,1441.25,1677755,582
4.029,542,1444,327224,586
0.317,542,67255.5,235679,11
0.317,542,67255.5,235679,11
6.789,1628,62388.5,2670955,13
0.133,542,66438.75,83374,10
0.133,542,66438.75,83374,10
0.133,542,66438.75,83374,10
3.531,1628,66829.5,235679,0
156.52,542,61285,83374,0
148.544,542,61285,83374,0
140.313,542,61285,83374,0
132.344,542,61285,83374,0
124.366,542,61285,83374,0
116.386,542,61285,83374,0
108.422,542,61285,83374,0
100.451,542,61285,83374,0
92.488,542,61285,83374,0
84.511,542,61285,83374,0
76.284,542,61285,83374,0
68.306,542,61285,83374,0
60.345,542,61285,83374,0
52.363,542,61285,83374,0
44.39,542,61285,83374,0
36.402,542,61285,83374,0
28.412,542,61285,83374,0
20.457,542,61285,83374,0
12.469,542,61285,83374,0
4.498,542,61285,83374,0
3.392,542,61285,83374,0
3.392,542,61285,83374,0
3.392,542,61285,83374,0
